CASE Number,Accident Date,Accident Time,Day of Week,Nearest Street,At Intersection,Precinct,Zone ID,Number of Vehicles Involved,Location of First Harmful Event,Weather Condition,Light Conditions,Traffic Control Device,Traffic Control Type,Roadway Alignment,Roadway Surface Condition,Roadway Surface type,Roadway Description,Roadway defects,Relation to Roadway,Intersection Type,Work Zone Related,Workers Present in Work Zone,Work Zone Location,Work Zone Type,School Zone,Type of Collision,Location 1
2016020735.0,05/25/2016,1231,WED,DAHLIA DR,Yes,4.0,426.0,2,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DAYLIGHT,YES-WORKING,TRAFFIC SIGNAL,STRAIGHT-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, DIVIDED, UNPROTECTED MEDIAN",NO DEFECTS,WITHIN INTERSECTION,FOUR APPROACHES,NO,,,,NO,ANGLE,"1900 LYNNHAVEN PW
VIRGINIA BEACH, VA
(36.795804, -76.115741)"
2016027219.0,07/03/2016,1809,SUN,3001 OLE TOWNE LA,Yes,1.0,127.0,3,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DAYLIGHT,YES-WORKING,TRAFFIC LANES MARKED,STRAIGHT-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, DIVIDED, UNPROTECTED MEDIAN",NO DEFECTS,WITHIN INTERSECTION,FOUR APPROACHES,NO,,,,NO,REAR END,"900 LYNNHAVEN RD S
VIRGINIA BEACH, VA
(36.811247, -76.072651)"
2016023369.0,06/11/2016,1350,SAT,FALLBROOK BD,Yes,3.0,326.0,2,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DAYLIGHT,NO TRAFFIC CONTROL DEVICE PRESENT,NO TRAFFIC CONTROL,STRAIGHT-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, DIVIDED, UNPROTECTED MEDIAN",NO DEFECTS,INTERSECTION-RELATED-WITHIN 150`,TWO APPROACHES,NO,,,,NO,REAR END,"945 DIAMOND SPRINGS RD
VIRGINIA BEACH, VA
(36.872636, -76.171885)"
2016026285.0,06/28/2016,730,TUE,DAMASCUS TL,Yes,1.0,124.0,2,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DAYLIGHT,YES-WORKING,STOP SIGN,STRAIGHT-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, NOT DIVIDED",UNDER REPAIR,WITHIN INTERSECTION,TWO APPROACHES,YES,NO WORKERS PRESENT,ACTIVITY AREA,WORK ON SHOULDER OR MEDIAN,NO,ANGLE,"2799 HOLLAND RD
VIRGINIA BEACH, VA
(36.771347, -76.068547)"
2016024411.0,06/17/2016,208,FRI,200 19TH ST,Yes,2.0,227.0,2,ON ROADWAY,RAIN,DARKNESS-ROAD LIGHTED,YES-WORKING,TRAFFIC SIGNAL,STRAIGHT-LEVEL,WET,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, DIVIDED, UNPROTECTED MEDIAN",NO DEFECTS,INTERSECTION-RELATED-WITHIN 150`,FOUR APPROACHES,NO,,,,NO,ANGLE,"1900 PACIFIC AV
VIRGINIA BEACH, VA
(36.847094, -75.976103)"
2016024704.0,06/18/2016,1917,SAT,EMBERS DR,Yes,4.0,424.0,1,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DAYLIGHT,NO TRAFFIC CONTROL DEVICE PRESENT,NO TRAFFIC CONTROL,CURVE-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, NOT DIVIDED",NO DEFECTS,MAIN-LINE ROADWAY,NOT AT INTERSECTION,NO,,,,NO,FIXED OBJECT-OFF ROAD,"3633 BRANNON DR
VIRGINIA BEACH, VA
(36.768072, -76.135693)"
2016024189.0,06/15/2016,1615,WED,WELDON ST,Yes,3.0,329.0,2,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DAYLIGHT,YES-WORKING,TRAFFIC SIGNAL,STRAIGHT-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, DIVIDED, UNPROTECTED MEDIAN",NO DEFECTS,INTERSECTION-RELATED-OUTSIDE 150`,FOUR APPROACHES,NO,,,,NO,REAR END,"1536 INDEPENDENCE BL
VIRGINIA BEACH, VA
(36.891086, -76.138711)"
2016023534.0,06/11/2016,1231,SAT,LILA LA,Yes,4.0,421.0,2,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DAYLIGHT,YES-WORKING,TRAFFIC LANES MARKED,STRAIGHT-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",NO DEFECTS,WITHIN INTERSECTION,THREE APPROACHES,NO,,,,NO,ANGLE,"5300 INDIAN RIVER RD
VIRGINIA BEACH, VA
(36.797743, -76.175351)"
2016029195.0,07/16/2016,1015,SAT,LYNNHAVEN DR,Yes,2.0,220.0,2,ON ROADWAY,RAIN,DAYLIGHT,YES-WORKING,STOP SIGN,STRAIGHT-LEVEL,WET,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, DIVIDED, UNPROTECTED MEDIAN",NO DEFECTS,WITHIN INTERSECTION,FOUR APPROACHES,NO,,,,NO,REAR END,"2158 GREAT NECK RD N
VIRGINIA BEACH, VA
(36.905106, -76.067285)"
2016020704.0,05/25/2016,729,WED,3200 VERMEER DR,Yes,1.0,126.0,2,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DAYLIGHT,YES-WORKING,STOP SIGN,STRAIGHT-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, NOT DIVIDED",NO DEFECTS,WITHIN INTERSECTION,TWO APPROACHES,NO,,,,NO,ANGLE,"1100 WARWICK DR
VIRGINIA BEACH, VA
(36.798935, -76.081208)"
